"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"56110005";"Ponte Nova";2025-12-15 08:00:00;2025-12-15 07:00:00;2025-12-15 06:00:00;118;11;-9;18;42;31,8;31,8;"DOCE";124;;"2012";177,5;108;302;"10%-20%";
"56610000";"Piracicaba";2025-12-15 08:00:00;2025-12-15 07:00:00;2025-12-15 06:00:00;131;37;53;46;63;28;32,4;"DOCE";137;;"2022";143;32;510;"40%-50%";
"56661000";"Nova Era";2025-12-15 08:15:00;2025-12-15 07:15:00;2025-12-15 06:15:00;92;19;1;15;20;43,6;44,6;"DOCE";88;;"2022";128;71;350;"10%-20%";
"56696000";"Má De Carvalho";2025-12-15 08:30:00;2025-12-15 07:30:00;2025-12-15 06:30:00;164;29;19;57;62;22,6;28,4;"DOCE";;;"2022";198;58;533;"20%-30%";
"56825000";"Naque Velho";2025-12-15 08:15:00;2025-12-15 07:15:00;2025-12-15 06:15:00;289;14;24;80;74;35,4;35,4;"DOCE";253;;"2016";303,5;175;560;"40%-50%";
"56850000";"Governador Valadares";2025-12-15 08:15:00;2025-12-15 07:15:00;2025-12-15 06:15:00;166;-4;-2;44;36;55,4;55,4;"DOCE";158;;"1997";222;131;377;"0%-10%";
"56994500";"Colatina";2025-12-15 08:15:00;2025-12-15 07:15:00;2025-12-15 06:15:00;178;19;21;80;52;0;14,6;"DOCE";170;;"2013";234;46;596;"30%-40%";
