"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"86472000";"Linha José Julio";2025-10-26 07:30:00;2025-10-26 06:30:00;2025-10-26 05:30:00;337;-4;-86;-128;-142;1,4;1,4;"TAQUARI";399;;"2023";342;241;608;"33%-44%";
"86472600";"Santa Tereza";2025-10-26 06:45:00;2025-10-26 05:45:00;2025-10-26 04:45:00;258;21;-33;-97;-168;0;0;"TAQUARI";;;;;;;;
"86510000";"Muçum";2025-10-26 07:15:00;2025-10-26 06:15:00;2025-10-26 05:15:00;285;11;-1;-68;-161;0,6;0,6;"TAQUARI";294;;"2023";213;88;1123;"70%-80%";
"86720000";"Encantado";2025-10-26 07:15:00;2025-10-26 06:15:00;2025-10-26 05:15:00;123;7;7;-54;-141;0,4;0,4;"TAQUARI";145;;"2023";222;104;1077;"0%-10%";
"86879300";"Estrela";2025-10-26 07:15:00;2025-10-26 06:15:00;2025-10-26 05:15:00;1281;-3;-4;-9;-57;1;1;"TAQUARI";1298;;"2024";1294;1292;1302;"Mínima-0%";
