"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"87160000";"Nova Palmira";2025-11-15 09:15:00;2025-11-15 08:15:00;2025-11-15 07:15:00;155;-2;-130;0;18;0;1,2;"CAÍ";136;;"2024";80;6;291;"90%-100%";
"87170000";"Barca Do Caí";2025-11-15 09:15:00;2025-11-15 08:15:00;2025-11-15 07:15:00;263;-21;-551;-36;45;0;0,2;"CAÍ";192;;"2024";203,5;130;1187;"70%-80%";
"87270000";"Passo Montenegro";2025-11-15 09:15:00;2025-11-15 08:15:00;2025-11-15 07:15:00;120;-18;-290;-14;47;0;0;"CAÍ";85;;"2024";110;33;725;"50%-60%";
