"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"13450000";"ASSIS BRASIL";2025-03-25 17:15:00;2025-03-25 16:15:00;2025-03-25 15:15:00;324;-46;-124;-220;-125;0;0;"ACRE";NA;NA;"2012";280;211;460;"70%-80%";NA
"13470000";"BRASILEIA";2025-11-01 08:15:00;2025-11-01 07:15:00;2025-11-01 06:15:00;149;2;28;43;-76;0;79;"ACRE";75;NA;"2024";226;81;481;"10%-20%";NA
"13550000";"XAPURI";2025-11-01 08:30:00;2025-11-01 07:30:00;2025-11-01 06:30:00;245;-42;17;50;66;0;3,4;"ACRE";177;NA;"2015";310,5;173;557;"10%-20%";NA
"13568000";"CAPIXABA";2025-11-01 08:15:00;2025-11-01 07:15:00;2025-11-01 06:15:00;239;4;113;91;83;0;3,6;"ACRE";NA;NA;NA;NA;NA;NA;NA;NA
"13578000";"RIO ROLA";2025-11-01 08:15:00;2025-11-01 07:15:00;2025-11-01 06:15:00;124;6;49;46;50;0;0;"DO ROLA";94;NA;"2023";151;91;552;"22%-33%";NA
"13600002";"RIO BRANCO";2025-11-01 08:45:00;2025-11-01 07:45:00;2025-11-01 06:45:00;291;13;115;NA;27;0;0;"ACRE";266;NA;"2015";352;144;615;"30%-40%";NA
