"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"58770000";"Cataguases";2025-11-15 07:00:00;2025-11-15 06:00:00;2025-11-15 05:00:00;97;-9;-26;-16;10;0;0;"POMBA";187;;"1979";114;64;355;"20%-30%";
"58790002";"Santo Antônio de Pádua II";2025-11-15 07:30:00;2025-11-15 06:30:00;2025-11-15 05:30:00;74;-6;;-37;19;0;0;"POMBA";160;;"2012";104,5;37;219;"10%-20%";
"58792100";"Aperibé";2025-11-15 06:45:00;2025-11-15 05:45:00;2025-11-15 04:45:00;63;-8;-25;-26;21;0;0;"POMBA";135;;"2022";99;46;197;"0%-11%";
"58940000";"Itaperuna";2025-11-15 07:15:00;2025-11-15 06:15:00;2025-11-15 05:15:00;186;-8;-21;12;6;0;0;"MURIAÉ";207;;"2008";211;161;471;"10%-20%";
"58960000";"Cardoso Moreira";2025-11-14 18:45:00;2025-11-14 17:45:00;2025-11-14 16:45:00;80;2;-51;;4;0;0;"MURIAÉ";101;;"2008";154;7;1012;"10%-20%";
"58974000";"Campos";2025-11-15 07:15:00;2025-11-15 06:15:00;2025-11-15 05:15:00;472;-5;-26;11;5;0;0;"MURIAÉ";554;;"1966";664,5;482;878;"Mínima-0%";
