"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"41340000";"Ponte Raul Soares";2025-12-06 05:00:00;2025-12-06 04:00:00;2025-12-06 03:00:00;103;-96;57;53;66;0;67,6;"DAS VELHAS";148;;"2022";155,5;69;461;"10%-20%";
"41410000";"Jequitibá";2025-12-06 05:00:00;2025-12-06 04:00:00;2025-12-06 03:00:00;194;51;114;106;127;0;42,8;"DAS VELHAS";166;;"2022";162,5;89;558;"60%-70%";
"41650002";"Ponto do Licínio";2025-12-06 05:00:00;2025-12-06 04:00:00;2025-12-06 03:00:00;216;29;57;57;74;0,8;29,6;"DAS VELHAS";207;;"2022";205;148;550;"50%-60%";
"41780002";"Presidente Juscelino";2025-12-06 05:15:00;2025-12-06 04:15:00;2025-12-06 03:15:00;99;-52;38;37;42;0;38,4;"PARAUNA";101;;"2020";113;56;234;"40%-50%";
"41818000";"Santo Hipólito";2025-12-06 04:45:00;2025-12-06 03:45:00;2025-12-06 02:45:00;217;35;107;90;124;7,2;107;"DAS VELHAS";173;;"2020";203;73;725;"50%-60%";
