"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"15400000";-8,7414909061105;-63,9098491828945;976000;"PORTO VELHO";2025-10-27 15:15:00;2025-10-27 14:15:00;2025-10-27 13:15:00;443;15;112;113;221;1,2;34,4;"MADEIRA";87;;"2014";451,5;81;836;"30%-40%";
"15250000";-10,7904128147678;-65,3402580392168;609000;"GUAJARA-MIRIM";2025-10-27 15:30:00;2025-10-27 14:30:00;2025-10-27 13:30:00;592;0;-4;5;3;10;10;"MAMORE";511;;"2014";584;403;771;"50%-60%";
"15318000";-10,3504498489983;-65,360596199069;834000;"UHE JIRAU JUSANTE RIO BENI";2025-10-27 16:15:00;2025-10-27 15:15:00;2025-10-27 14:15:00;1106;-2;47;63;134;0;0;"MADEIRA";;;"2014";1034;928;1231;"89%-100%";
"15326000";-9,77955908299952;-65,5197841260444;31100;"MORADA NOVA JUSANTE";2025-10-27 15:30:00;2025-10-27 14:30:00;2025-10-27 13:30:00;785;-6;-52;-60;-53;1,8;14;"ABUNÃ?";776;;"2014";839;740;971;"20%-30%";
"15560000";-10,8710172967507;-61,9307115117515;32800;"JI-PARANA";2025-10-27 16:00:00;2025-10-27 15:00:00;2025-10-27 14:00:00;649;-11;-18;-12;-15;0,8;4,4;"MACHADO";667;;"2022";670;629;731;"10%-20%";
"15630000";-7,50077540103552;-63,0102062595394;1090000;"HUMAITÁ";2025-10-27 15:30:00;2025-10-27 14:30:00;2025-10-27 13:30:00;1179;8;75;96;173;0;25,4;"MADEIRA";875;;"2014";1143;873;1516;"60%-70%";
"15200000";;;;"Príncípe da Beira";2025-10-27 15:30:00;2025-10-27 14:30:00;2025-10-27 13:30:00;392;4;-2;-4;-8;0,2;7,6;"GUAPORÉ";348;;"2014";395;344;511;"40%-50%";
"15430000";;;;"Ariquemes";2025-10-27 16:00:00;2025-10-27 15:00:00;2025-10-27 14:00:00;170;-1;65;63;61;10,4;13,2;"JAMARI";117;;"2007";221;115;343;"10%-20%";
